DUID,Cat,Batt Load,NEM Tech Type,NEM Fuel Type
WRSF1,solar,,Solar PV - Fixed,Solar - Solar
WRWF1,wind,,Wind Turbine - Onshore,Wind - Wind
WSTWYSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
WTAHB1,battery,,Storage - Battery,Other - Other
WUNUSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
WYASF1,solar,,Solar PV - Single axis tracking,Solar - Solar
YABULU,fossil,,Turbine - CCGT,Fossil - Natural Gas Pipeline
YABULU2,fossil,,Turbine - CCGT,Fossil - Natural Gas Pipeline
YAMBUKWF,wind,,Wind Turbine - Onshore,Wind - Wind
YARANSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
YARWUN_1,fossil,,Turbine - CCGT,Fossil - Natural Gas Pipeline
YATSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
YENDWF1,wind,,Wind Turbine - Onshore,Wind - Wind
YSWF1,wind,,Wind Turbine - Onshore,Wind - Wind
YWPS1,fossil,,Turbine - Steam Sub Critical,Fossil - Brown Coal
YWPS2,fossil,,Turbine - Steam Sub Critical,Fossil - Brown Coal
YWPS3,fossil,,Turbine - Steam Sub Critical,Fossil - Brown Coal
YWPS4,fossil,,Turbine - Steam Sub Critical,Fossil - Brown Coal
